0,1,2,3,4,5
193,Ацо Шопов,Денес на ред е македонската поезија која никако не смееме да ја запоставиме. Денес ја читаме „Старо купувам“ од Ацо Шопов.,Старо купувам,"Старо купувам – Ацо Шопов

Старо купувам, старо купувам,
стари алишта, стари пискули,
старо железо, стари љубови,
старо купувам.
Купувам стари дребности,
непотребности,
чевли излижани, ризи износени,
среќи одсреќени,
старо, старо, старо купувам.
Купувам стари секидневности,
мали и големи ревности,
стари елеци во долапите,
стари котли на огништата,
стари саѓи на совеста,
стара ’рѓа на соништата.
Старо, старо, старо купувам.
Купувам стари секидневности,
мали и големи ревности,
стари љубови, стари среќи, стари гревови,
купувам стари радости, стари младости,
старо, старо, старо купувам.
Старо купувам, старо купувам,
стари алишта, стари пискули,
стари надежи, стари љубови.
Купувам стари секидневности,
големи и мали здодевности,
стари грижи, стари патила,
стари гревови, стари чесности.
Старо, старо, старо купувам,
стари среќи, стари љубови,
стари радости, стари младости,
купувам стари алишта.
Старо, старо, старо купувам,
старо за нови сврталишта.



",13
194,Никола Вапцаров,Денес повторно на ред е споделување на прекрасна македонска поезија. Изборот падна на „Проштално“ од Никола Вапцаров.,Проштално,"Проштално – Никола Вапцаров

На жена ми…

Понекогаш ќе идам в твојот сон
ко нечекан и далек гост…
Ти, не ме оставај на патот, вон,
Од порти истај го лостот!

Ќе влезам тивко, кротко ќе си седам
Крај тебе, в мракот втренчен, да те гледам сам!
И кога наситен ќе запрам да те гледам,
Ќе ми те бакнам и – ќе заминам.



",55
195,Богомил Ѓузел,"Никогаш не е доста од македонска поезија. Секој ден е прекрасен ден за споделување и читање македонска поезија. Денес изборот падна на „Твоите пет минути“ од Богомил Ѓузел, исклучително прекрасна песна!",Твоите пет минути,"Твоите пет минути – Богомил Ѓузел

Постојат пет минути во некој час
што не можеш да ги издржиш, а мораш –
би излегол надвор, би врескал, би се смеел
но не смееш поради другите или поради себе

место тоа седиш в училница грицкајќи нокти
чекаш на ред, маршираш во строј спиејќи
се возиш во автобус како во вселенска кабина
палиш уште една цигара на некој состанок

а тој се одолжува зад таа цигара и другата
и петте минути стануваат цел час
часот ден, денот месец, година итн.
дур не ти се убие желбата да врескаш и плачеш

а кога конечно ти успева да излезеш незабележано
во тебе сепак сите одеднаш се вртат
како да си излегол од нивните животи
а не само од својот.



",18
196,Петре М,Денес е прекрасен ден за споделување македонска поезија. Денешниот избор е „Петто писмо“ од Петре М. Андреевски.,Петто писмо,"Петто писмо – Петре М. Андреевски

(
Од циклусот
Пет љубовни писма
)

А те барав во учебниците, те барав низ вековите,
во заседите на ветрот, во прангиите на зимите,
во неразбраниот срам на хоризонтот пред зајдисонце,
во неразбирливиот копнеж на ракатката – тутун,
што се дипли и оддиплува меѓу прстите,
во раскуќената светлина од слепите и мртвите,
во рамнотежата меѓу минатите дни и идните ноќи,
во ропството на душата од дувачите на стакло.
Те барав во нагласокот од непознатите јазици,
во отседланите вечери и празните постели сред поле,
во вчудовидената јаглика на увото на билјарките,
во интерпункцијата од говорот на уплаканите деца.
Те барам во жестоката можност за обединување
на мојот раштркан народ,
во стракот киселица, во неупотребениот воздух,
што ги караше и миреше соседните села,
покрај наковалните од жешките и женски пладниња
меѓу овошките упатени кон својата сезонска цел,
во иглата што го зашиваше темното и светлото.
Те барав, наслушнувајќи го подземното тапанче
што беше срцето на успаните жетвари.
Те барав зад небото, во небеските кртечини,
во непрочитаниот струјомер од угаснатата светулка,
во атентатите од моите луѓе на моите луѓе,
во непроучената постојаност на страните од светот,
непроучена, а разбрана како постојана денгуба.
Те барав во незавршениот страв на ѕвездата што паѓа,
не можејќи ништо да допре во просторот.
Те барав, те барав, во сè и сешто,
Те барав, а барајќи можев само да те сретнам,
но не и да те најдам, но не и да те најдам.

",40
197,Гане Тодоровски,Делнично будење на градот – Гане Тодоровски,Делнично будење на градот,"Наутро, катаутро, вријавец, по улиците,
се запоточува река од луѓе,

отспани, недоспани, зловолни, шеговити,
гладни, појадени, намирисани, небричени,
добродушни, немиени, потстрижани, болни,
куци, мамурни, брзоплети, тажни,
кашличави, песнопојци, доодени,
Па,
исчезнуваат како во тло песокливо
бргу-бргу некаде помеѓу 6-те и 8-те часот.

Почнува делникот еднолично и ненаметливо
како најпозната но сепак пријатна мелодија!

Секој кон своето:

Пожарникари, милиционери, гинеколози,
свештеници, семкаџии, келнери,
улични метачи, народни пратеници, студенти,
инкасанти, столари, продавачи, ѕидари,
софисти, спортисти, адвентисти,
мизантропи, крадци, писатели,
медиокритети, нарциси, хипокрити,
филистри, дрдорковци, шмеќари,
доброволни дарители на крв и латентни убијци,
есеисти, голмани, композитори,
неротки, сифилисти, филателисти,
конјуктуристи, кондуктери, проститутки,
судии, дреари, прекупачии, еквилибристи, директори,
вратари, телефонисти,
секој ден тие па тие,
секој ден тие па тие,
– едни та исти,
едни та исти!



",32
198,Ацо Шопов,"Секогаш сум била од оние луѓе кои ја сакаат тишината. Секогаш сум се согласувала со ставот дека тишината може да говори погласно од илјадници зборови. Понекогаш тишината е она што ни треба, а понекогаш тишината е она што нѐ издава.",Во тишина,"Во чест на прекрасната, а понекогаш меланхолична тишина, денес на блогот ја споделуваме прекрасната „Во тишина“ од Ацо Шопов.

Во тишина – Ацо Шопов

Ако носиш нешто неизречено,
нешто што те притиска и пече,
закопај го во длабока тишина,
тишината сама ќе го рече.



",13
199,Игор Исаковски,"Дојде есента, а со неа и меланхолијата, дождот и сѐ поголемата желба да се чита поезија. Некако во доцните вечерни часови најмногу прилега да се чита прерано заминатиот Игор Исаковски, кој со своите искрени стихови и прекрасна поезија размрдува по нешто во сечија душа.",Ноќта добива крилја,"Ноќта добива крилја – Игор Исаковски

ќе се сретнеме малку пред полноќ,
за мирно да го пречекориме прагот:

ми ја држиш дланката…
одиме низ тесни калдрмисани улички,
од некаде навева звук на кларинет:
месечината се бои портокалово, тебе ти руменеат усните.

го одлагаме бакнежот, ноќта добива крилја…



14.07.2012, 23:44

Извор.

",43
200,Блаже Конески,"Есента веќе дојде на голема врата и за многумина, ова е најубавото годишно време. Пеколните температури се зад нас, а на сцена стапуваат прекрасните и топли џемпери и долгите ветровите и дождливи ноќи кога стуткани во јорган читаме книга додека пиеме кафе, чај или топло чоколадо. По тој повод денес на блогот песната „Починка“ од Блаже Конески која во себе некако како да носи дел од таа есенска меланхолија.",Починка,"Починка – Блаже Конески

Есенва е мирна, просветлена сета.
Човек сака негде далеку да шета.
Убавино, ти ме заморуваш веќе.

Сè ќе минам кое со возбуда мами.
Има такви места каде што сме сами.
Убавино, ти ме заморуваш веќе.

Смирноста е мудра, страсноста е глупа.
Ќе седнам во паркот на некоја клупа.
Убавино, ти ме заморуваш веќе.

И долго ќе седам, со цигара во рака.
Вечерта што иде ќе ја чекам така.
Убавино, ти ме заморуваш веќе.

(Сликата е дело на
Мики Такахаши
)

",9
211,Блаже Конески,Убавите жени – Блаже Конески,Убавите жени,"Убавите жени во мојот народ
тие брзо прецутувале
како цут од кајсија
како мајски јоргован.
О неправда!
Тие им припаѓале на неизбрани мажи,
нивните коси дење сплетени во прцлиња
ноќе распуштени по градите и колковите.
Нивниот постап на препелица
набрзо го сопинала унечка,
нивната младост поминувала
како мирис на липа што го одвева ветрот.
Набрзо тие седнувале на порта
со наведната глава и издадени коленици,
со нечујна издишка.
Убавите жени, несреќните жени
тие брзо прецутувале
како цут од кајсија
како мајски јоргован.



",9
201,Петре М,"Денешниот дождлив и бавен ден кај многумина предизвикува романтично расположение. Во таа насока, денешниот избор за македонска поезија на денот падна на прекрасната песна „Тркалезни форми“ од великанот Петре М. Андреевски! Уживајте!",Тркалезни форми,"Тркалезни форми – Петре М. Андреевски

(
Пофалба на жената
)

Тркалезни ти се очите
и местата од кај што ме гледаш,
управувајќи со моите движења.

Тркалезна ти е устата
што ги оданочува зборовите
и што ја прославува насмевката.

Тркалезни ти се рамената
и тркалезен ти е вратот
што е единствено скеле од каде
сета татковина е видлива.

Тркалезни ти се дојките
што се подвижни камбанарии
и подигнати пушки од заседа.

Тркалезни ти се брадавиците
и медното саќе на нив
и млечниот рудник, првата почва,
првата средба со исхраната.

Тркалезни ти се слабините,
тркалезно што се шират,
рамномерно што се враќаат.

Тркалезна ти е половината
и ветрот што се врти околу неа,
како колцето околу оската,
како преѓата околу вретеното.

Тркалезен ти е папокот
што е лузна на раѓањето
и сеќавање на точката
откај што тргнал животот.

Тркалезни ти се колковите
од кои се одбива светлината
што е единствено вратниче
за во мракот и за в помрачина.

Тркалезни ти се колената
што ги чекам да ми проговорат
и тркалезни ти се петиците
што те одделуваат од земјата.

Тркалезна ти е прегратката
кога ме љубиш, кога те љубам
и тркалезна ти е солзата
кога од мене се разделуваш.

Тркалезна ти е трпезата
на која ручаш и вечераш,
а и лебот и садовите,
ко трпезата се тркалезни.

Тркалезно ти е јаболкото
што го честиш со устата
и тркалезно е виножитото
во лубеницата што ја отвораш.

Тркалезна е водата
што ја зафаќаш со грстите
и водата кога ти прави место,
помагајќи ти да се искапиш.

Тркалезно е и семето
што го засејуваш во нивата
и тркалезен е надолу патот
по кој слегува неговиот корен.

Тркалезно е сонцето и сончогледот
што изгрева заради тебе,
заради твоите тркалезни форми
без кои и јас не знам кај би гледал.



",40
202,Гане Тодоровски,Денес е 8. Септември – Денот на независноста на Република Македонија!,Нашинска,"Да ни е жива и здрава нашата држава, долговечна и просперитетна! Во чест на празникот, денес на блогот прекрасна македонска поезија. Со оглед на денот и поводот, изборот падна на „Нашинска“ од Гане Тодоровски!

Честит 8 септември!

Нашинска – Гане Тодоровски

Да ни е да сме доста
колку за да се разбистри небото
над Бистрине, Корабине-

Да ни е да сме доволно
колку за да се довардиме
покрај Вардарине и Струмине –

Да ни е да сме мерата
колку за да се прелееме
од колено во колено до крај истрајвекот-

Малцичка сме ли ете па што
малцичка божем а веќе со векови
по стопати по севезден нè пребројуваат

Но ние сме како што сте како што се
И покрај сè и покрај сè
колку сме толку сме токму сме!



",32
203,Анте Поповски,Секој ден е преубав ден кога станува збор за споделување македонска поезија! Денес на блогот можете да се опуштите и да уживате во македонски стихови. Изборот падна на „Од сина тишина зборови“ од Анте Поповски,Од сина тишина зборови,"Од сина тишина зборови – Анте Поповски

Од сина тишина создавав зборови
и од зборови Те создавав Тебе
Те поведов низ младоста, низ цел живот
една по една да ги собираме трошките
на кои постапно се распаѓавме.

Сега, легнувајќи во самите корени
на новиот век
се загледуваш во мене
и ги згаснуваш една по една
ѕвездите во моите очи.
Така, обезѕвезден, влегувам во предел
на света бессоница,
во предел на морничав студ.

О, поезијо, девојко со вкус на вечност.



",26
204,Игор Исаковски,Среда е прекрасен ден за споделување на македонска поезија. Се надевам дека ќе уживате во денешниот избор од поетот кој за жал прерано нѐ напушти!,"Кршење, прекршување","Кршење, прекршување – Игор Исаковски

моментот кога се прекршуваш
низ себе: како бои од виножито
низ призма, како звук на стакло
врз мермер. боли моментот, доаѓа
ненајавен а очекуван. и ти доаѓа
да пееш, да се смееш, да танцуваш,
да не мислиш на себе додека
се прекршуваш.

па го фаќаш првиот воз
кон заборавот, со карта
во еден правец, без багаж.
би сакал да мислиш – без багаж.

пејзажите низ кои поминуваш
се совршени огледала на твојата
појава, на твојата душа, на твојот
божем незаинтересиран лик.
те клопоти возот, до првото
пристаниште: морето те повикува
со својата занесна бескрајност.

низ прекршувањето
на морските капки
гледаш виножита;
некаде далеку татни,
небото се крши.



",43
210,Гане Тодоровски,Скица за првото писмо до Ема Гермова – Гане Тодоровски,Скица за првото писмо до Ема Гермова,"Родена за да се родиш на мојот љубовден
И прв и последен, јас Те именувам МОЈА!
До тој ден те прижелкувам по севезден
И дните стопати до прекапнување ги бројам.

I love You, Я люблю тебя, Ich liebe Dich,
Како ли уште треба да речам дека Те сакам?
Колку е збунет овој недовршен стих
Пред една чуденка, пред молкот на саканата!

Зборот го болувам, болот го зборувам,
Не го преболувам, не го прегорувам,
И ќе ме сотрат еден ден чинам
Или убавите жени или лошите вина.

Малку ни остана за да младуваме
Песно, ко најверен пес што ме пазеше
Од сите јадови што ги јадувавме
И од радостите што ги радувавме
Ние – непобедниците непоразени!

Зборови скудни, вие предавници мили,
Речете и:
За Тебе сме сочувани низ сите Харибди и Сцили
Во чувствата на оној што треба да е твој,
Твој во најсвидните денови неспокој.



",32
205,Петре М,"Денес е прекрасен ден за споделување поезија, особено кога станува збор за Петре М. Андреевски! Уживајте! ❤",Прво писмо,"Прво писмо – Петре М. Андреевски

(Од циклусот
Пет љубовни писма
)

Ништо не е повидливо
и ништо не е поприсутно од твоето отсуство:
ни детските шепоти што ги откривав
во сеидбите на дождовите,
ни закажаната бура во пајажините
од крајпатните меанчиња,
ни воздушните патишта, осветлени од ластовиците
ни она што добива форма само во мојот слух,
ни мојот слух додека во него задоцнетиот штурец
го навиваше својот ноќен часовник,
ни родилните маки на фрленото семе,
ни разгорениот пожар на главата од петелот
додека бега од сенката што слегува од небото,
ни просторот што ми остана меѓу твоите раце,
меѓу твоите два припека,
ни змијата што го возбудува врвот од житата,
ни снежните намети и налети во афионовите полиња,
ни пламенот што надојдува, како есенска магла,
во низата од пиперките,
ни љубовта и омразата меѓу клучот и катанецот,
ни притаената светлина во купениот кибрит;
ништо не е повидливо од твојата трага
пред мене и зад мене, со мене и во мене.



",40
206,Блаже Конески,"Денес на блогот повторно прекрасна македонска поезија. За поубав ден, денес изборот падна на „Себесоздавање“ од Блаже Конески.",Себесоздавање,"Себесоздавање – Блаже Конески

Така, со заемни ситни притворства,
за да се покажеме,
сигурни дека ќе минеме неоткриени,
го градиме ние ден за ден,
дури со години,
подобриот дел од себеси.
Потоа како лута зима
неочекувано вистината доаѓа
и останува
да виси во воздух
уште малку,
призрачна,
таа наша лична зграда.
Урнат е нашиот привид.
Доцна
да се измислуваме наново.



",9
207,Славко Јаневски,"На 16 јуни 1943 година, кај селото Ваташа, 12 младинци биле стрелани од страна на бугарската војска, под изговорот дека им помагале на партизаните. 12 млади луѓе го загубија својот живот и тие се само уште една страница во тажната македонска историја.",Цветови,"Во нивна чест, Славко Јаневски ја пишува песната „Цветови“, која мене лично ми е една од најдрагите и најтажни македонски песни. Затоа и денес изборот за македонска поезија, падна токму на цветови. Имено, подолу можете да ја слушнете и песната „Цветови“ од Зафир Хаџиманов. Тој ги претвора овие стихови во музичка композиција, чија музика е подеднакво тажна како и стиховите.

Цветови – Славко Јаневски

В Тиквешко негде, в некое село,
кај в слана тивко венеше цвете,
– убија дете.

Последна солза од око капна…
кога на ридот есента стапна,
в крви се изми утрото бело.
И кога в зраци челикот светна
последна мисла ко птица летна:
„Мајка ми сама остана в село”.

О, детски очи!
Криевте в себе небесно катче…
Румено крвје течеше в жили
в радост без почин…

Кај око детско натопи земја
гороцвет никна, разлиста пролет,
кај крвта врела растопи слана
црвена роза закити поле.

Мајската роза и цветот модер
в миризма молат:
„Закити, друже, огнена пушка
со цвеќа млади,
па напред појди и други деца
брани со гради”.

В Тиквешко негде, в некое село,
кај в слана тивко венеше цвете,
– убија дете.



„Цветови“ – Васил Хаџиманов

",5
208,Цане Андреевски,"Еден читател на блогот реши да сподели македонска поезија која му се допаѓа и мисли дека треба да биде на блогот, па затоа денес и ја споделувам оваа прекрасна песна од Цане Андреевски. Доколку и вие имате идеја или желба да видите одредена македонска песна која ви се допаѓа, слободно можете да ми пишете!",Човек седи крај езеро,"Уживајте во македонска поезија и имајте убав ден!

Човек седи крај езеро – Цане Андреевски

1.

Оставете ме само за миг
сред ова сино поле неорано,
над кое кружат бели птици
како нени очи на небото.

Тука денот е син
и дождот златен врне.
Оставете ме тука сам
во оваа течна градина
што зрее под сводот на
тишината.

Овој дожд ми мириса на празник
кога просторот се населува во
нашите очи
па ги урнува ѕидовите на видот
и очите ги претвора во љубов.

Однесете ги чекорите на јавата
и оставете ме тука сам,
зошто јас имам очи
што како дланки му се подаваат
на овој дожд
и растат од неговиот допир топол
и дишат со дахот на приците
за да го прегрнат светов.

2.

Те слушам, о езеро, те слушам,
отвори ги сончевите порти
о рамницо залелеана
и нежна насмевко на ридиштата
отвори ги сончевите порти.

Чукам во твоите порти што ги
делат
пчелите на сонот од осите на
јавата
ја свлекувам облеката за лажни
свечености
и ја оставам пред твоите порти,
о езеро, отвори ги сончевите
порти.

Ме домами
ти стрело за мојот страв,
ти брану за мојот немир,
ти лебу за мојата глад,
ме домами ти лето за мојата
љубов.

И ете, дојдов гол како стебло
да бидам живо стебло
во твојата залелеана рамница,
бела латица
во твојата насмевка.

3.

Тука мојот глас е семе
што ќе роди стебло ново,
и мојот вид е поле
богато со мудра љубов.

О, езеро,
твоето лето ми влегува во грлото
не како сон,
туку како пчела на сонот
што лебдее меѓу цветовите и
плодовите
и го осмислува својот краток пат.
Твоето лето чекори по видот мој
и пее во стеблата на љубовта
што плод сочен држат.

Веќе е пладне и гласот свој го
слушам.
Езеро, го најдов својот глас
во синилото на твојата градина
што дише под златниот дожд на
летото.

Веќе е пладне и видот свој го
најдов
во очите на љубовта узреана на
твојот брег.



",56
209,Ацо Шопов,Утре – Ацо Шопов,Утре,"Да, се мина веќе и свршено се’ е.
Се’ ко молња денес згасна во темнината.
Пa ceгa сум море каде пустош тлее
и солза сум само в зеница истината.

Можеби за болот друго срце треба
и тагата да е лач на месечината,
можеби јас нема да се најдам себе,
можеби … Ho слej сe, слej ce co тишината.

И заборав утре кога ќе ме скрие
и сто сонца светнат над нас во висината –
во моите очи еден зрак ќe бие,
една жива струја и дах на вистината.



",13
212,Ацо Шопов,Кога ти е најтешко – Ацо Шопов,Кога ти е најтешко,"Кога ти е најтешко, кога ти се чини
дека гласот ти е крик, а погледот – молење,
загледај се, нурни се во водите сини,
ај, во таа свежина, во тоа шумолење.

Ќе сетиш со длабок здив
сила и смирување.
погледот ќе блесне жив,
жив од подмладување.



",13
213,Анте Поповски,"По повод 21 март, Светскиот ден на поезијата, денес на блогот можете да прочитате македонска поезија. Иако се разбира дека не е потребен повод за да се споделува македонска поезија, бидејќи таа треба секогаш и секаде да биде споделувана, сепак нема поубав начин да го одбележиме Светскиот ден на поезија од тоа да споделиме македонска поезија. За денес изборот падна на Анте Поповски и „Две тишини“.",Две тишини,"Две тишини – Анте Поповски

Ти конечно ме бакна,
и како и овие дождови и секавици,
како и овие ветришта,
ме окова за себеси,
и тоа што веќе меѓу нас се случи
сега и Бог – господ
не може да го спречи.
Но, каде си?
Ти и не знаејќи околу мене
насели две тишини:
една мала, во која те сонувам
и чекам, и една голема
во која исчезнувам.
Твојот заборав и моето заминување
сега и сам Господ – бог
не може да го спречи.



Share this:
Click to share on X (Opens in new window)
X
Click to share on Facebook (Opens in new window)
Facebook
Like
Loading...
Related

",26
214,Матеја Матевски,Целиот живот ми се спомените – Матеја Матевски,Целиот живот ми се спомените,"Што ми е грижа што било лага
и каде водела измамна трага?
Целиот живот ми се спомените

И за преоценка да дошло време
не може никој нив да ми ги земе
Целиот живот ми се спомените

По моја волја тие се редат
и илузиите нешто да вредат.
Целиот живот ми се спомените.

Јас сам над нив само над нив со власт крајна
создавам со нив родина тајна.
Целиот живот ми се спомените.



",58
215,Петре М,"21 февруари е Меѓународниот ден на мајчиниот јазик. Нема поубав начин да го одбележиме овој прекрасен ден со македонска поезија и тоа со песна од големиот Петре М. Андреевски, која морам да признаам дека мене ми е една од омилените. Уживајте во „Умилкување“ и како бонус на крај погледнете го прекрасното емотивно рецитирање на Владо Цветановски!",Умилкување,"Умилкување – Петре М.Андреевски

Ќе ги отпретам сите горештини од твојата глава,
ко суво дрво на сува рида реките ќе ги заковам.
Ќе те претплатам на вечна љубов и вечни времиња
ќе те љубам и губам и во пости и пред гости
само да ме сакаш.

Ќе ги поткупам сите човечки сетила и патила.
Сите светлосни преѓи пресијазол ќе ги врзам,
сите денови и ноќи на својот почеток ќе ги вратам,
ќе ти дадам сè што е солено и молено
само да ме сакаш.

Ќе спијам во движење, сенката своја ќе ја прескокам
ќе ги затнам сите извори, сè што гори ќе отворам.
Ќе направам да не се знае кај е лево и десно,
ќе ти наберам ѕвезди, ќе ти влепам шлаканица
само да ме сакаш.

Ќе ги шпионирам сите крадци на твоите часови.
Ќе ги исфрлам од употреба страните на светот
и светот, по црна ноќ, одмижанка ќе го истрчам
и ќе те фалам и кудам под сите небеса
само да ме сакаш.

Кај ќе стасам ќе разделам топло од студено,
на шеќерот ќе му забранам да се споредува со тебе,
не ќе оставам растојание што ќе биде меѓу нас,
со ова што го велам и слепо и глуво ќе исцелам
само да ме сакаш.

Погледнете го и видеото:

",40
216,Гане Тодоровски,Сонет – Гане Тодоровски,Сонет,"Можеби си спомен, нечујно што минал
Низ моите мечти, оставајќи трага?
Можеби си зборот јас што сум го скинал
Од усните свои, низ насмевка блага?

Можеби си сенка што во ноќта сина
Одмина без “
збогум
“, недофатена, драга
Или: крик на страдник безгласно што зинал.
Или: лик на свидна, неплакана тага?

Остани за навек Моја, Една, Блиска.
Биди само име в занес што се блада,
Биди песна звучна што низ солзи плиска.

Остани за навек далечна и нема.
Биди вечен гост на срцето што страда,
Од кај не ќе може никој да те зема!!!



",32
217,Петре М,Ако не си ти – Петре М. Андреевски,Ако не си ти,"Доближи се слико на светот од едниот до другиот крај
и по бојата на твојот фустан ќе погодам
како ќе изгледа времето.
Инаку во чија глава би ме темнело
и во чија соба би ме разденувало,
ако не си ти.

Зборот мој внесува поголем простор во помалиот
и јас постојам само онаму кај што и ти постоиш.
Оти никогаш досега не сум поминал
онаму кај што ти не си била.
Затоа не знам кого би го мразел и кого би го сакал,
ако не си ти.

Навечер ја вадам мојата куќа од твојата куќа
и светлото на инсектот од незнајните гласови
што ги `рѓосуваат машините во пчелите.
И пак не знам каква ракија би пиел
и кој со мојот сон би спиел,
ако не си ти.

Што не може да каже земјата му го порачува на растението,
додека јас со туѓо лице те пронаоѓам,
а со твоето те губам.
И додека насекаде се распрашувам
на кој крај од светот
би се разминувале денот и ноќта,
ако не си ти.

Доближи се како цветот што има корен на небото
и по бојата на твојата уста ќе погодам
во кој овошен плод ќе заврши летото.
Инаку кој дури зборува ќе го отвара кафезот
за да ја пушти птицата што го збогатува воздухот,
ако не си ти.





",40
218,Славко Јаневски,Танчерка на дланка – Славко Јаневски,Танчерка на дланка,"Не плаши се, дојди,
има во тие зглобови сешто:
моето бездно од нив, слушаш
небитници темни ти нуди,
моето смеење на нив
крвави кули до сонцето крева,
моето чекање под нив
огнови разбранува лоши.
Те чека, те чека тоа горење
да изгориш, да се витосаш или да пораснеш
за едно сеќавање во црно.
Дојди, свои сме, јас – глад
и ти прекор, обајцата до корен
она што сме.



",5
219,Петре М,"Денес е последниот ден од ноември, а времето надвор е навистина прекрасно. Сонцето во комбинација со свежото ветре е навистина романтично, па и затоа најсоодветно за споделување на прекрасни македонски стихови. Денес изборот падна на „Првата разделба“ од легендарниот Петре М. Андреевски. Уживајте! Ви посакувам прекрасен, романтичен, сончев ден!",Првата разделба,"Првата разделба
– Петре М. Андреевски

Возот се задеваше со предишените полиња,
жеравите се престројуваа над мојата глава,
но во сè што ќе видев, во сè што ќе помислев,
во сè што ќе допрев беше и таа замешана.

Оставен, како развенчана змиска кошула,
ги колнев сите краишта што нејзе ѝ ги посветив
и сите нови места што ме среќаваа без неа.

Ушите ми гореа за да знам дека ме споменува,
но сетилата му се противеа на придојденото време
и тој ден траеше подолго од сите минати години.

Колку ја барав подалеку, толку поблиску ја пронаоѓав
(како што можев да ја изгубам и кога ја држев за рака)
и солзата што подалеку кај неа се растураше
во мене веќе почнуваше да се збира и составува



",40
